accelerometer_X	accelerometer_Y	accelerometer_Z	latitude	longitude	tilt	timestamp	realtime
0.46927786	7.518023	6.423839	0.0	0.0	50	35	13:11:26
0.6943397	7.513234	6.431022	0.0	0.0	50	70	13:11:26
0.4166038	7.685622	6.56989	0.0	0.0	50	111	13:11:26
0.3519584	7.5299945	6.6273527	0.0	0.0	49	152	13:11:26
0.64166564	7.4030976	6.5004563	0.0	0.0	49	190	13:11:26
0.8475733	7.283384	6.4190507	0.0	0.0	49	231	13:11:26
1.1660118	7.2762012	6.28976	0.0	0.0	50	271	13:11:26
1.0798179	7.4030976	6.4405994	0.0	0.0	49	310	13:11:26
0.85236186	7.49408	6.428628	0.0	0.0	50	352	13:11:26
0.59378016	7.597034	6.471725	0.0	0.0	50	389	13:11:26
0.44294083	7.5587254	6.474119	0.0	0.0	49	431	13:11:26
0.35914123	7.4438004	6.5363703	0.0	0.0	49	471	13:11:26
0.6895511	7.407886	6.4956675	0.0	0.0	49	513	13:11:26
0.9313729	7.273807	6.404685	0.0	0.0	49	557	13:11:26
1.1803775	7.391126	6.23948	0.0	0.0	50	591	13:11:26
1.0846065	7.3671837	6.421445	0.0	0.0	49	632	13:11:26
0.8140534	7.5323887	6.349617	0.0	0.0	50	672	13:11:26
0.5794145	7.5826683	6.5148215	0.0	0.0	49	713	13:11:26
0.505192	7.458166	6.4334164	0.0	0.0	49	755	13:11:26
0.45012367	7.371972	6.593833	0.0	0.0	48	791	13:11:26
0.6847626	7.3001437	6.481302	0.0	0.0	49	833	13:11:26
0.9337672	7.3600006	6.5148215	0.0	0.0	49	873	13:11:26
1.0941836	7.345635	6.2873654	0.0	0.0	50	912	13:11:26
1.0271438	7.3432407	6.3759537	0.0	0.0	49	954	13:11:26
0.7326481	7.597034	6.4525704	0.0	0.0	50	992	13:11:26
0.5411061	7.556331	6.4573593	0.0	0.0	50	1032	13:11:27
0.45491222	7.5299945	6.4621477	0.0	0.0	49	1076	13:11:27
0.54828894	7.412675	6.4956675	0.0	0.0	49	1114	13:11:27
0.8140534	7.3169036	6.361588	0.0	0.0	49	1155	13:11:27
0.9864412	7.307327	6.4166565	0.0	0.0	49	1194	13:11:27
1.1013664	7.336058	6.3903193	0.0	0.0	49	1233	13:11:27
0.86193895	7.415069	6.483696	0.0	0.0	49	1274	13:11:27
0.7685622	7.6090055	6.4190507	0.0	0.0	50	1316	13:11:27
0.45251793	7.5084457	6.471725	0.0	0.0	49	1352	13:11:27
0.38308397	7.5228114	6.5579185	0.0	0.0	49	1392	13:11:27
0.6943397	7.312115	6.428628	0.0	0.0	49	1434	13:11:27
0.81165916	7.352818	6.474119	0.0	0.0	49	1473	13:11:27
1.036721	7.3240867	6.3807425	0.0	0.0	49	1512	13:11:27
1.1133378	7.312115	6.411868	0.0	0.0	49	1555	13:11:27
0.83081335	7.5898514	6.4501762	0.0	0.0	50	1592	13:11:27
0.6488485	7.5323887	6.488485	0.0	0.0	49	1635	13:11:27
0.4932206	7.5874567	6.490879	0.0	0.0	50	1673	13:11:27
0.37590113	7.515629	6.5794673	0.0	0.0	49	1712	13:11:27
0.6249057	7.345635	6.466936	0.0	0.0	49	1753	13:11:27
0.8667275	7.3767605	6.4860907	0.0	0.0	49	1793	13:11:27
1.0750294	7.2977495	6.3280683	0.0	0.0	49	1832	13:11:27
1.0462981	7.355212	6.423839	0.0	0.0	49	1873	13:11:27
0.93616146	7.4797144	6.4142623	0.0	0.0	50	1915	13:11:27
0.6368771	7.6018224	6.4429936	0.0	0.0	50	1954	13:11:27
0.49082634	7.6185822	6.4693303	0.0	0.0	50	1992	13:11:27
0.51955765	7.474926	6.395108	0.0	0.0	50	2036	13:11:28
0.68236834	7.328875	6.4429936	0.0	0.0	49	2073	13:11:28
0.9433443	7.3192983	6.385531	0.0	0.0	49	2114	13:11:28
1.2881198	7.458166	6.081458	0.0	0.0	51	2155	13:11:28
1.1348863	7.4629545	6.079064	0.0	0.0	51	2193	13:11:28
0.65124273	7.56112	6.65369	0.0	0.0	49	2234	13:11:28
0.45251793	7.759845	6.529187	0.0	0.0	50	2276	13:11:28
0.35674694	7.556331	6.577073	0.0	0.0	49	2313	13:11:28
0.6751855	7.283384	6.529187	0.0	0.0	48	2353	13:11:28
0.87151605	7.26423	6.3759537	0.0	0.0	49	2394	13:11:28
0.9624985	7.3815494	6.4190507	0.0	0.0	49	2433	13:11:28
1.0678465	7.431829	6.402291	0.0	0.0	50	2472	13:11:28
0.7972935	7.513234	6.4765134	0.0	0.0	49	2514	13:11:28
0.55307746	7.6066113	6.483696	0.0	0.0	50	2554	13:11:28
0.46927786	7.5060515	6.409474	0.0	0.0	50	2597	13:11:28
0.3902668	7.5850625	6.8260775	0.0	0.0	48	2635	13:11:28
0.7541966	7.2809896	6.6081986	0.0	0.0	48	2671	13:11:28
0.9601042	7.273807	6.4334164	0.0	0.0	49	2714	13:11:28
1.0319325	7.345635	6.3975024	0.0	0.0	49	2753	13:11:28
0.8786988	7.3767605	6.4501762	0.0	0.0	49	2792	13:11:28
0.73743665	7.6113997	6.4860907	0.0	0.0	50	2832	13:11:28
0.45730647	7.623371	6.395108	0.0	0.0	50	2872	13:11:28
0.5865973	7.412675	6.4358106	0.0	0.0	49	2912	13:11:28
0.749408	7.352818	6.4597535	0.0	0.0	49	2952	13:11:28
0.88588166	7.2618356	6.407079	0.0	0.0	49	2992	13:11:28
